A,B,DATE,TIME,DURATION,FIRST CELL ID,LAST CELL ID,IMEI A,IMSI A,A ADDRESS
Lodovico,McCord,07-02-2022,8:25 AM,34,45014-159,42254-426,3.65262E+13,3.55683E+15,Room 511
Fifine,Guard,11/19/2022,3:39 PM,65,49348-080,68788-9708,3.53471E+15,5.00236E+15,PO Box 49050
Ailbert,Rutley,7/30/2022,12:09 AM,88,55154-5128,68016-135,5.03837E+16,3.58058E+15,Apt 527
Harp,Daniell,11-02-2022,6:59 AM,64,55154-3424,0378-3361,5.60224E+17,5.10018E+15,Room 1306
Ingmar,Copper,09-11-2022,7:06 PM,82,59898-200,0615-7636,3.54301E+15,3.56093E+15,Apt 537
Tulley,Druett,05-05-2022,9:52 PM,63,68428-046,63629-3870,3.54226E+15,3.76848E+14,Apt 1312
Brigham,Gutsell,10-10-2022,11:27 AM,25,69103-2400,0409-6143,2.01627E+14,3.05759E+13,Apt 111
Monah,Hainning,5/18/2022,6:59 AM,97,41250-839,35000-861,3.01415E+13,5.04838E+15,12th Floor
Briant,Basek,6/18/2022,6:40 AM,92,68093-7038,0115-1121,4.50802E+15,3.65123E+13,Room 733
Luce,Bulgen,2/27/2022,3:20 PM,46,54868-0108,68647-198,3.5405E+15,3.57235E+15,Room 1731
Carin,Pellington,6/20/2022,5:08 AM,31,11084-732,67046-482,3.57407E+15,3.56392E+15,Apt 350
Ezri,Edgehill,3/31/2022,2:23 AM,52,41520-170,63941-641,3.54852E+15,5.46047E+15,PO Box 11684
Corrine,Stiff,12-05-2022,10:10 PM,88,42549-574,0074-3010,6.75959E+17,6.75923E+17,PO Box 56047
Hart,Kigelman,5/19/2022,3:06 AM,26,54868-0375,50952-009,3.55296E+15,3.00152E+13,PO Box 72708
Giffie,Bonnesen,11/29/2022,8:09 PM,56,42858-902,68001-131,5.60224E+15,3.54076E+15,16th Floor
Ardelia,Rush,1/29/2023,8:29 AM,25,50845-0125,0904-3365,4.93689E+18,3.57535E+15,12th Floor
Gabbi,Messham,2/18/2022,9:12 AM,41,54295-302,0615-4523,3.55854E+15,5.60225E+15,7th Floor
Layne,Cawse,05-01-2022,3:34 PM,75,68094-518,11673-957,5.61073E+16,3.74289E+14,Suite 85
Emili,Huegett,10/16/2022,5:21 AM,33,48951-4017,0519-1381,3.74289E+14,2.01981E+14,13th Floor
Mose,Farnish,12/16/2022,11:05 PM,85,0023-8335,64679-906,5.0181E+16,3.58053E+15,11th Floor
Win,Kermeen,11-10-2022,5:05 AM,55,63323-961,10096-0277,4.90587E+15,3.55381E+15,Room 48
Billy,Jurick,10-08-2022,12:03 PM,47,10019-988,45802-138,4.91725E+15,6.75984E+17,PO Box 64899
Penelope,MacGee,06-08-2022,9:55 PM,98,10678-008,49288-0922,3.54301E+15,3.01557E+13,Apt 757
Sophronia,Marzelle,3/24/2022,1:29 AM,71,0378-5052,52533-211,3.54889E+15,3.54034E+15,Suite 22
Redd,Kamena,9/25/2022,9:12 AM,81,68788-9869,52584-601,3.55586E+15,3.56006E+15,Suite 50
Hale,Mulchrone,4/21/2022,11:12 PM,36,0378-2146,43857-0184,5.14838E+15,6.33428E+15,PO Box 78808
Grover,Pinare,07-02-2022,6:21 PM,20,0187-0007,0781-5782,3.5676E+15,5.60223E+15,PO Box 75443
Joey,Still,07-12-2022,5:41 AM,86,63347-500,37205-648,6.70676E+17,3.01637E+13,Apt 1965
Ulrich,Rowbottom,03-06-2022,5:22 AM,33,62011-0173,68084-535,3.58983E+15,5.10014E+15,7th Floor
Deanna,Grzelczyk,4/23/2022,8:30 PM,48,0615-7823,43538-240,4.92973E+15,4.91773E+15,Suite 27
Shoshana,McElwee,3/13/2022,10:14 AM,32,59535-4611,53943-602,4.91157E+17,3.5691E+15,15th Floor
Giulia,Saffell,12-02-2022,1:33 PM,57,55154-6926,47593-501,3.56488E+15,3.58021E+15,Apt 105
Filmore,Boost,8/23/2022,1:26 AM,80,65044-1878,63402-206,3.5794E+15,3.58318E+15,Suite 23
Tomasine,Gavin,1/30/2023,6:45 PM,68,63621-353,62756-299,3.53977E+15,5.89343E+15,Room 98
Lauree,MacDowal,10-06-2022,7:07 AM,26,49349-295,64205-210,4.91344E+15,5.03854E+15,Apt 979
,,,,51,,,,,
